brand,secure,growth,impact,smart,digital,accountability,transparency,responsibility,safety,control,smooth,protection,support,ai,choice,accessibility,technology,clarity,goal,development,trust,future,affordable,valuable,simple,tailored,vision,community,expansion,social,ambition,empowerment,freedom,automation,ease,innovation,intuitive,reliability,flexibility
Klarna,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revolut,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bunq,0.0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
N26,10.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
Trade Republic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
