brand,support,community,control,ai,trust,speed,reliability,digital,safety,smooth,helpful,cooperation,secure,simple,intuitive,transparency,future,freedom,protection,clean,convenience,social,choice,innovation,functional,simplicity,ethics,smart,affordable,flexibility,integrity,impact,planning
Bunq,42.0,1.0,2.0,14.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klarna,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N26,67.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Revolut,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Trade Republic,54.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
